city,population
Tönisvorst,29306.0
Güstrow,29241.0
Friedberg,29180.0
Landsberg,29132.0
Northeim,29107.0
Kelkheim (Taunus),29055.0
Springe,28951.0
Unterschleißheim,28907.0
Bühl,28900.0
Schwandorf,28828.0
Höxter,28824.0
Rösrath,28693.0
Schwelm,28542.0
Rendsburg,28470.0
Steinheim am Main,28403.0
Winnenden,28339.0
Idar-Oberstein,28323.0
Bad Neuenahr-Ahrweiler,28251.0
Grimma,28180.0
Wegberg,28175.0
Geislingen an der Steige,28122.0
Königsbrunn,28076.0
Meißen,28044.0
Leichlingen,28031.0
Kevelaer,28021.0
Zeitz,27955.0
Emmendingen,27882.0
Sundern,27802.0
Baunatal,27750.0
Olching,27741.0
Reinbek,27649.0
Mechernich,27598.0
Wetter (Ruhr),27441.0
Griesheim,27435.0
Arnstadt,27304.0
Aschersleben,27220.0
Geilenkirchen,27214.0
Rheinbach,27063.0
Overath,27040.0
Baesweiler,27033.0
Neustadt,26987.0
Leimen,26968.0
Wangen im Allgäu,26905.0
Schloß Holte-Stukenbrock,26776.0
Lohne,26762.0
Wiesloch,26758.0
Hamminkeln,26739.0
Strausberg,26587.0
Lauf,26515.0
Neckarsulm,26492.0
Heiligenhaus,26335.0
Sangerhausen,26297.0
Hennigsdorf,26272.0
Ehingen an der Donau,26259.0
Butzbach,26197.0
Nordenham,26193.0
Hohen Neuendorf,26159.0
Ludwigsfelde,26112.0
Mühlacker,26076.0
Heppenheim,26023.0
Selm,26011.0
Weiterstadt,25975.0
Pfaffenhofen,25917.0
Kulmbach,25915.0
Sankt Wendel,25862.0
Teltow,25825.0
Bad Honnef am Rhein,25816.0
Helmstedt,25728.0
Bingen am Rhein,25659.0
Achern,25630.0
Zirndorf,25596.0
Roth,25593.0
Lennestadt,25503.0
Verl,25498.0
Lindau,25490.0
Lübbecke,25490.0
Rinteln,25484.0
Brilon,25417.0
Staßfurt,25385.0
Zittau,25381.0
Plettenberg,25318.0
Groß-Gerau,25302.0
Schleswig,25276.0
Geretsried,25275.0
Rottweil,25274.0
Friedrichsdorf,25194.0
Petershagen,25168.0
Pfungstadt,25151.0
Harsewinkel,25147.0
Wiehl,25135.0
Horb am Neckar,25135.0
Rudolstadt,25115.0
Salzkotten,25062.0
Norden,25060.0
Weingarten,24943.0
Obertshausen,24943.0
Idstein,24897.0
Ditzingen,24883.0
Schmallenberg,24869.0
Delitzsch,24868.0
Warstein,24842.0
Sprockhövel,24747.0
Bad Oldesloe,24744.0
Olpe,24688.0
Espelkamp,24685.0
Rathenow,24309.0
Senftenberg,24275.0
Meiningen,24233.0
Waldshut-Tiengen,24226.0
Sonneberg,23830.0
Salzwedel,23655.0
Calw,23590.0
Korbach,23581.0
Starnberg,23498.0
Freudenstadt,23442.0
Mosbach,23398.0
Husum,23158.0
Westerstede,22778.0
Burg,22478.0
Weilheim,22477.0
Bad Kissingen,22444.0
Stadthagen,22247.0
Apolda,22012.0
Osterode,21731.0
Kitzingen,21704.0
Heide,21684.0
Sonthofen,21541.0
Sondershausen,21513.0
Aichach,21434.0
Germersheim,20779.0
Günzburg,20707.0
Luckenwalde,20522.0
Traunstein,20520.0
Mühldorf,20323.0
Wittmund,20321.0
Bad Salzungen,20244.0
Lichtenfels,20133.0
Greiz,20103.0
Donauwörth,20080.0
Torgau,20065.0
Holzminden,19998.0
Dingolfing,19839.0
Annaberg-Buchholz,19769.0
Eschwege,19606.0
Haldensleben,19247.0
Sömmerda,19034.0
Prenzlau,19024.0
Wittlich,18995.0
Dillingen,18978.0
Bad Tölz,18802.0
Marktoberdorf,18539.0
Alzey,18535.0
Bad Dürkheim,18476.0
Weißenburg,18464.0
Bad Reichenhall,18278.0
Forst,18164.0
Parchim,18037.0
Sigmaringen,17278.0
Bad Segeberg,17267.0
Heilbad Heiligenstadt,17105.0
Eutin,16971.0
